datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
1/3/2022,49.1,25.7,36.3,43.6,0,,72.1,99,8.5,4,7:19:08,16:44:59,Adams
1/3/2022,21.5,-15.5,0.7,71.9,0,,0,152.5,12.9,5,7:18:24,16:57:21,Alamosa
1/3/2022,49.8,25.8,36.4,42.3,0,,71.9,75.8,6.6,4,7:18:28,16:45:39,Arapahoe
1/3/2022,34.7,8.3,17.3,81.2,0,,0.2,199.7,17.3,8,7:22:28,17:03:24,Archuleta
1/3/2022,48,19.2,31.9,50.9,0,,0,129.8,11.3,5,7:04:40,16:45:04,Baca
1/3/2022,40.4,4.6,19.9,72.7,0,,0,121.8,10.6,5,7:08:34,16:45:30,Bent
1/3/2022,36.8,17.8,27.3,63.4,0,,0,105.8,8.8,6,7:24:03,16:48:36,Boulder
1/3/2022,43.4,17.8,30.8,56.5,0,,23.6,95.2,7.9,5,7:22:15,16:47:38,Broomfield
1/3/2022,35.4,3.8,25.3,40.1,0,,0,149,12.9,6,7:23:47,16:56:13,Chaffee
1/3/2022,54,23,35.7,46.8,0,,0,132.4,11.4,5,7:09:13,16:41:05,Cheyenne
1/3/2022,21.9,12.7,17.4,40.5,0,,3.7,218.4,18.7,5,7:23:57,16:50:53,Clear Creek
1/3/2022,21.7,-8.1,4.8,72.2,0,,0.7,40.3,2.9,0,7:19:00,16:59:53,Conejos
1/3/2022,25.1,-4.8,8.5,61.1,0,,0,74.9,6.5,5,7:16:11,16:56:43,Costilla
1/3/2022,43.8,9.4,25.1,70.8,0,,0,124.7,10.8,5,7:12:30,16:47:16,Crowley
1/3/2022,38.2,5,19.2,62.2,0,,0,113.1,9.9,5,7:18:13,16:54:13,Custer
1/3/2022,29.2,5.9,16.6,70.1,0,,0,117.4,10.2,5,7:30:20,17:02:03,Delta
1/3/2022,51.2,25.8,36.6,41.3,0,,72.7,79.8,6.9,4,7:21:00,16:47:31,Denver
1/3/2022,37,14,24.3,61,0,,0,129.5,11.3,6,7:29:52,17:07:50,Dolores
1/3/2022,49,24.5,35.4,36.7,0,,31.6,111.4,9.7,5,7:19:55,16:48:58,Douglas
1/3/2022,20.5,-11.1,3.5,64.9,0,,3.1,59.3,5.2,3,7:27:52,16:55:09,Eagle
1/3/2022,52.5,13.3,30.7,44.9,0,,0,108.6,9.4,5,7:16:38,16:45:46,Elbert
1/3/2022,54.7,18.8,36.7,39,0,,33.5,79.5,6.9,4,7:16:53,16:48:48,El Paso
1/3/2022,49.6,17.1,33.5,40.1,0,,26.5,132.5,11.5,5,7:19:24,16:53:26,Fremont
1/3/2022,17.2,-6.1,4.2,72.5,0,,0,118.9,10.3,5,7:32:38,17:00:07,Garfield
1/3/2022,25.7,15.6,20.6,35.3,0,,3.7,227,19.6,5,7:23:53,16:49:49,Gilpin
1/3/2022,4.5,-25.6,-8.9,69.7,0,,4,102.3,9,5,7:26:56,16:51:19,Grand
1/3/2022,13.6,-12.9,-1.5,68.3,0,,0,119.7,10.2,5,7:26:38,16:59:27,Gunnison
1/3/2022,33.4,16.9,23.7,55.8,0,,1.1,99,8.5,5,7:25:27,17:03:04,Hinsdale
1/3/2022,35.7,11.7,21.6,51,0,,0,120.3,10.2,5,7:15:25,16:53:43,Huerfano
1/3/2022,29.4,0.8,17.9,56.7,0,,0.2,103.3,9,5,7:29:29,16:50:37,Jackson
1/3/2022,50.9,23.5,36.4,39.8,0,,70.4,182,15.6,4,7:21:57,16:49:29,Jefferson
1/3/2022,38.8,-0.2,16.5,76.2,0,,0,132.6,11.4,5,7:08:33,16:42:57,Kiowa
1/3/2022,53.6,23.9,35.7,46.8,0,,0,131.1,11.3,5,7:10:33,16:39:43,Kit Carson
1/3/2022,37.1,2.2,18.8,52.5,0,,0.1,98.8,8.5,4,7:25:15,16:55:01,Lake
1/3/2022,35.3,-2.1,15.7,71.8,0,,0,116.7,10.1,5,7:25:51,17:06:20,La Plata
1/3/2022,35.7,14.3,24.5,70.3,12.5,"['rain', 'snow']",0,80.3,7.1,5,7:26:06,16:47:14,Larimer
1/3/2022,49.5,17.7,32,47.2,0,,0,137.8,11.9,5,7:10:45,16:51:03,Las Animas
1/3/2022,56.4,6.7,28.5,54.8,0,,0.9,107.1,9.2,5,7:13:17,16:44:14,Lincoln
1/3/2022,39.8,7.1,21,77.8,0,,0,102.5,8.8,5,7:16:43,16:37:28,Logan
1/3/2022,20.8,-1.3,8.6,74.5,0,,0,118.4,10.1,5,7:33:10,17:04:00,Mesa
1/3/2022,24.8,10.6,15.3,75.1,0,,2.1,139.3,12.1,6,7:23:13,17:01:42,Mineral
1/3/2022,19.5,-8.2,4.5,75.6,0,,0,124,10.8,5,7:36:43,16:58:24,Moffat
1/3/2022,34.9,9.8,21.6,72,0,,0,127.9,11.1,5,7:29:01,17:09:13,Montezuma
1/3/2022,25,3.3,13.1,73.8,0,,0,119.7,10.3,6,7:30:39,17:04:55,Montrose
1/3/2022,32.4,6.5,20.4,73.3,0,,0.5,111.5,9.5,5,7:18:11,16:41:44,Morgan
1/3/2022,49.4,7.2,26.4,68.8,0,,0,126.5,10.9,5,7:11:01,16:48:13,Otero
1/3/2022,35.7,14.3,23.4,54.5,0,,0,99,8.5,5,7:27:56,17:03:40,Ouray
1/3/2022,33.7,10.6,21.8,41,0,,3.1,119.5,10.5,5,7:22:29,16:52:44,Park
1/3/2022,55.4,17.7,31.9,65.5,0,,0,107.7,9.3,5,7:13:20,16:34:53,Phillips
1/3/2022,29,-1,11.7,75.2,0,,0,105.5,9.2,5,7:27:33,16:57:14,Pitkin
1/3/2022,40.5,0.8,17.5,72.5,0,,0,129.5,11.2,5,7:05:54,16:42:41,Prowers
1/3/2022,47.2,6,25.3,69.1,0,,0.4,110.1,9.4,4,7:14:53,16:50:30,Pueblo
1/3/2022,23,-8.8,5.3,73.8,0,,0,127.7,11.1,6,7:34:54,17:00:11,Rio Blanco
1/3/2022,23.3,2.2,10.9,70.6,0,,1.5,135.8,11.4,5,7:20:50,17:00:15,Rio Grande
1/3/2022,19.4,-2.6,7.8,77.2,0,,1.6,112.4,9.7,5,7:31:34,16:53:48,Routt
1/3/2022,31.7,-2.3,12,61.8,0,,0,134.3,11.4,6,7:21:32,16:57:54,Saguache
1/3/2022,39.7,16.3,26.7,50.6,0,,0,99,8.5,5,7:26:31,17:04:18,San Juan
1/3/2022,35.3,13.9,23,55.1,0,,0,123.3,10.8,5,7:30:11,17:06:42,San Miguel
1/3/2022,50.7,15.7,28.7,69.2,0,,0,110.4,9.6,5,7:14:13,16:34:05,Sedgwick
1/3/2022,28.6,18.1,23.5,34.2,0,,5.9,106.2,9.2,5,7:25:37,16:52:57,Summit
1/3/2022,54.2,19.1,36.4,36.6,0,,24.2,117.5,10.2,5,7:19:38,16:51:18,Teller
1/3/2022,47,20.7,31.8,53.7,0,,0,111.5,9.5,5,7:14:55,16:40:13,Washington
1/3/2022,31.8,2.3,15.3,74.9,25,"['rain', 'snow']",1.8,85.6,7.4,4,7:21:23,16:43:10,Weld
1/3/2022,53.8,17.9,33.7,56.2,0,,0,120.4,10.3,5,7:11:52,16:36:58,Yuma
1/10/2022,55.8,24.2,37.9,37.2,0,,18.7,136,11.7,5,7:18:32,16:51:41,Adams
1/10/2022,41.7,-1.6,18.1,63.5,0,,4.6,131.5,11.4,5,7:18:07,17:03:44,Alamosa
1/10/2022,55.6,25.3,37.8,36.4,0,,18.3,74.9,6.4,4,7:17:53,16:52:20,Arapahoe
1/10/2022,41.8,14.3,24.8,52.6,0,,1.6,130.8,11.2,6,7:22:13,17:09:44,Archuleta
1/10/2022,56,23.1,36,48.1,0,,0,133.5,11.6,5,7:04:25,16:51:24,Baca
1/10/2022,52.5,18.3,31.9,65.5,0,,0,125.3,10.8,5,7:08:14,16:51:56,Bent
1/10/2022,43.7,17.5,30.3,53.5,0,,0,116.5,9.8,5,7:23:25,16:55:20,Boulder
1/10/2022,47.5,21.2,33.1,48.3,0,,0,92.9,7.7,5,7:21:38,16:54:21,Broomfield
1/10/2022,36.8,25,30.6,25.9,0,,0,161.5,13.9,6,7:23:21,17:02:45,Chaffee
1/10/2022,52.1,16.1,32.6,51.7,0,,0,136.1,11.8,5,7:08:45,16:47:38,Cheyenne
1/10/2022,29.1,10.7,20.3,30.2,0,,0,249.5,21.5,6,7:23:22,16:57:34,Clear Creek
1/10/2022,38.8,5.1,20,49.5,0,,3.5,103,8.7,6,7:18:45,17:06:13,Conejos
1/10/2022,36.9,7.5,20.5,50.7,0,,2.7,110.8,9.6,6,7:15:56,17:03:03,Costilla
1/10/2022,52.8,16.6,32.2,63.4,0,,0,127.6,11,5,7:12:06,16:53:45,Crowley
1/10/2022,42.4,14.1,25.5,45.8,0,,0,117.8,10.2,5,7:17:52,17:00:41,Custer
1/10/2022,40.5,17.3,27.4,63.3,0,,0,120.5,10.4,5,7:29:52,17:08:37,Delta
1/10/2022,55.8,25.9,37.9,35.3,0,['rain'],18.1,84,7.3,4,7:20:25,16:54:12,Denver
1/10/2022,41.8,17.5,27.6,57.2,0,,0,154.5,13.3,6,7:29:33,17:14:15,Dolores
1/10/2022,50.2,22,34,37.4,0,,7.2,240.5,20.6,5,7:19:23,16:55:35,Douglas
1/10/2022,25.8,1.7,11.6,64.8,0,,0,84.5,7.3,4,7:27:18,17:01:49,Eagle
1/10/2022,51.4,13.8,30.5,44.5,0,,0,107.7,9.4,5,7:16:07,16:52:24,Elbert
