datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
2022-07-04,92.8,66.0,79.1,34.1,0.0,,66.4,326.0,28.2,10.0,05:34:21,20:29:07,Adams
2022-07-04,79.9,47.1,65.0,59.4,0.0,,14.2,338.8,29.2,10.0,05:47:11,20:27:58,Alamosa
2022-07-04,92.5,66.0,78.7,34.3,0.0,,66.2,258.0,22.4,9.0,05:35:04,20:28:24,Arapahoe
2022-07-04,78.0,47.9,64.2,62.5,0.0,,26.2,280.1,24.3,10.0,05:53:18,20:31:57,Archuleta
2022-07-04,96.2,66.9,82.5,40.0,0.0,,4.2,345.4,30.0,10.0,05:34:56,20:14:11,Baca
2022-07-04,99.0,64.5,82.9,40.2,0.0,,3.1,318.1,27.4,9.0,05:35:16,20:18:11,Bent
2022-07-04,86.5,60.1,72.3,40.9,16.67,['rain'],15.8,188.5,16.2,9.0,05:37:55,20:34:05,Boulder
2022-07-04,90.6,62.1,77.9,34.4,0.0,,19.8,262.2,22.4,10.0,05:36:59,20:32:15,Broomfield
2022-07-04,71.6,51.2,61.1,55.4,0.0,,22.6,302.0,26.1,10.0,05:45:49,20:33:33,Chaffee
2022-07-04,99.0,68.0,84.8,33.2,0.0,,4.9,353.5,30.6,10.0,05:30:40,20:19:00,Cheyenne
2022-07-04,55.3,42.0,47.5,60.9,16.67,['rain'],0.0,302.2,26.1,9.0,05:40:17,20:33:54,Clear Creek
2022-07-04,74.1,46.1,61.3,62.1,0.0,,18.1,226.7,19.7,9.0,05:49:46,20:28:29,Conejos
2022-07-04,74.7,47.3,61.0,59.2,0.0,,24.9,287.0,24.8,10.0,05:46:35,20:25:41,Costilla
2022-07-04,98.0,64.0,82.8,35.8,0.0,,2.8,304.3,26.5,9.0,05:36:57,20:22:11,Crowley
2022-07-04,80.5,53.0,67.5,51.7,0.0,,27.1,317.8,27.4,10.0,05:43:57,20:27:52,Custer
2022-07-04,92.2,60.4,76.9,40.7,0.0,,22.0,316.2,27.3,9.0,05:51:38,20:40:07,Delta
2022-07-04,92.6,65.5,78.4,34.4,0.0,,66.0,313.3,27.1,10.0,05:36:54,20:30:58,Denver
2022-07-04,80.4,55.0,68.7,50.5,0.0,,44.0,324.5,28.1,10.0,05:57:38,20:39:27,Dolores
2022-07-04,90.5,63.1,74.8,15.7,8.33,['rain'],48.3,257.0,22.2,10.0,05:38:26,20:29:47,Douglas
2022-07-04,82.3,52.9,68.4,48.2,12.5,['rain'],11.5,329.0,28.5,9.0,05:44:34,20:37:48,Eagle
2022-07-04,94.2,57.0,75.7,18.9,8.33,['rain'],17.2,325.5,28.1,9.0,05:35:15,20:26:30,Elbert
2022-07-04,90.0,58.8,75.6,41.2,16.67,['rain'],53.1,262.7,22.5,10.0,05:38:23,20:26:40,El Paso
2022-07-04,88.3,56.9,73.5,44.0,0.0,,46.4,298.1,25.7,10.0,05:43:05,20:29:07,Fremont
2022-07-04,90.4,59.1,75.4,41.7,0.0,,14.1,332.2,28.8,10.0,05:49:32,20:42:34,Garfield
2022-07-04,58.3,45.3,51.2,52.9,25.0,['rain'],0.0,308.8,26.6,9.0,05:39:11,20:33:52,Gilpin
2022-07-04,76.3,43.8,60.8,56.2,8.33,['rain'],3.6,329.5,28.6,10.0,05:40:37,20:36:58,Grand
2022-07-04,80.0,49.0,64.3,56.6,0.0,,36.8,297.9,25.9,10.0,05:49:04,20:36:23,Gunnison
2022-07-04,69.4,49.6,59.5,55.9,0.0,,51.6,267.7,23.1,10.0,05:52:51,20:35:03,Hinsdale
2022-07-04,76.3,53.2,63.7,51.0,0.0,,29.8,211.5,18.2,10.0,05:43:31,20:25:00,Huerfano
2022-07-04,75.4,42.9,60.7,57.3,0.0,,24.8,265.7,22.9,10.0,05:39:49,20:39:37,Jackson
2022-07-04,90.9,65.5,77.6,34.6,0.0,,54.5,315.5,27.0,9.0,05:38:55,20:31:52,Jefferson
2022-07-04,99.8,64.9,83.0,42.8,0.0,,4.6,353.5,30.6,10.0,05:32:37,20:18:15,Kiowa
2022-07-04,99.1,68.5,84.9,33.6,0.0,,5.0,331.4,28.6,9.0,05:29:13,20:20:26,Kit Carson
2022-07-04,69.2,37.3,54.1,68.1,0.0,,28.7,236.5,20.5,8.0,05:44:31,20:35:06,Lake
2022-07-04,84.9,53.7,70.0,54.6,4.17,['rain'],27.5,351.5,30.4,10.0,05:56:12,20:35:21,La Plata
2022-07-04,92.5,60.2,75.7,42.3,20.83,['rain'],7.2,293.6,25.3,10.0,05:36:25,20:36:14,Larimer
2022-07-04,88.4,62.0,76.5,41.5,0.0,,7.0,316.5,27.3,10.0,05:40:56,20:20:16,Las Animas
2022-07-04,94.9,55.4,77.2,40.2,8.33,['rain'],13.3,300.7,25.9,10.0,05:33:47,20:23:05,Lincoln
2022-07-04,96.7,60.0,79.4,48.6,0.0,,0.8,336.8,29.0,9.0,05:26:39,20:26:53,Logan
2022-07-04,93.1,67.4,81.9,29.9,0.0,,17.4,315.9,27.5,8.0,05:53:32,20:42:59,Mesa
2022-07-04,65.0,43.5,54.0,70.6,0.0,,26.2,267.7,23.1,10.0,05:51:31,20:32:47,Mineral
2022-07-04,86.2,55.9,71.8,48.2,0.0,,22.7,298.4,25.7,8.0,05:47:36,20:46:50,Moffat
2022-07-04,85.5,56.0,72.9,51.9,0.0,,25.6,303.1,25.9,10.0,05:59:05,20:38:31,Montezuma
2022-07-04,89.6,60.6,75.8,40.7,0.0,,27.4,265.6,22.9,10.0,05:54:35,20:40:21,Montrose
2022-07-04,94.9,60.8,78.9,43.7,0.0,,2.7,314.0,27.1,10.0,05:31:01,20:28:15,Morgan
2022-07-04,98.3,63.7,82.8,35.9,0.0,,0.2,343.7,29.6,10.0,05:37:59,20:20:37,Otero
2022-07-04,77.4,55.5,66.8,45.6,0.0,,59.2,310.9,26.9,9.0,05:53:23,20:37:35,Ouray
2022-07-04,68.3,44.6,55.2,57.3,12.5,['rain'],28.2,315.1,27.4,10.0,05:42:15,20:32:19,Park
2022-07-04,102.2,64.4,83.7,43.1,0.0,,0.0,241.5,20.8,7.0,05:24:06,20:23:28,Phillips
2022-07-04,82.1,53.0,68.4,42.3,0.0,,30.7,339.4,29.2,10.0,05:46:44,20:37:25,Pitkin
2022-07-04,99.7,65.5,83.0,44.3,0.0,,4.9,322.4,27.8,9.0,05:32:27,20:15:31,Prowers
2022-07-04,98.4,61.9,81.9,36.2,4.17,['rain'],18.5,323.0,28.0,10.0,05:40:12,20:24:32,Pueblo
2022-07-04,85.1,57.2,72.6,45.2,0.0,,20.0,340.7,29.5,10.0,05:49:31,20:44:54,Rio Blanco
2022-07-04,67.7,45.4,56.9,66.3,0.0,,24.1,226.6,19.7,9.0,05:50:05,20:30:23,Rio Grande
2022-07-04,81.1,50.8,67.3,56.4,8.33,['rain'],26.1,294.0,25.4,10.0,05:43:01,20:41:40,Routt
2022-07-04,76.9,48.4,62.0,65.9,0.0,,21.6,285.9,24.5,10.0,05:47:39,20:31:10,Saguache
