datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County,Lat,Lon,SunHours,SunHours(num),AVG Temp,Temp(Cel),Efficiency%,Potential Energy (W/m^2),,,,,,
1/6/2020,42,24.2,34.2,33,0,,21.5,201.6,8.7,5,7:19:06,16:47:14,Adams,39.874325,-104.331872,9.46,9.46,52.21666667,11.23148148,21.37685185,43.09573333,,County,Average Hours,Average Temp,,
1/6/2020,26.8,-6.7,8,64.9,0,,14.2,133.5,11.4,5,7:18:29,16:59:30,Alamosa,37.568442,-105.788041,9.68,9.68,44.25705128,6.809472934,21.81905271,29.12843536,,Adams,12.21185897,52.21666667,,
1/6/2020,42,24.2,33.9,33.4,0,,22.1,162,7.1,4,7:18:27,16:47:54,Arapahoe,39.644632,-104.331733,9.48,9.48,52.12371795,11.1798433,21.38201567,34.63886538,,Alamosa,12.22301282,44.25705128,Average Hours,
1/6/2020,33.5,9.1,17.8,75.6,0,,1.3,106.8,9.1,5,7:22:33,17:05:33,Archuleta,37.202395,-107.050863,9.71,9.71,45.60769231,7.55982906,21.74401709,23.22261026,,Arapahoe,12.22051282,52.12371795,,
1/6/2020,50.1,15.3,31.7,49.1,0,,0,239.4,10.3,5,7:04:45,16:47:12,Baca,37.303144,-102.535457,9.7,9.7,55.19230769,12.88461538,21.21153846,50.78042308,,Archuleta,12.20794872,45.60769231,Mean,12.22470353
1/6/2020,52.1,16.6,31.2,47.6,0,,0,179.9,10.9,6,7:08:37,16:47:40,Bent,37.931891,-103.077584,9.65,9.65,54.68974359,12.60541311,21.23945869,38.20978618,,Baca,12.21044872,55.19230769,Standard Error,0.001505394
1/6/2020,44.2,9.2,31.1,36.5,0,,11.5,125.4,10.8,5,7:24:01,16:50:52,Boulder,40.094826,-105.398382,9.43,9.43,47.41602564,8.564458689,21.64355413,27.14101688,,Bent,12.22698718,54.68974359,Median,12.22307692
1/6/2020,43.4,31.5,38.2,26.9,0,,10.6,88.3,7.3,4,7:22:13,16:49:54,Broomfield,39.953383,-105.052125,9.45,9.45,52.74358974,11.52421652,21.34757835,18.84991168,,Boulder,12.21788462,47.41602564,Mode,12.25519231
1/6/2020,26.3,9.6,20.6,42.1,4.17,['snow'],11.8,311.2,13.4,6,7:23:49,16:58:25,Chaffee,38.738246,-106.316972,9.56,9.56,43.32948718,6.294159544,21.87058405,68.06125755,,Broomfield,12.2124359,52.74358974,Standard Deviation,0.012043153
1/6/2020,46.1,15.2,28.8,53.5,0,,5,143.4,8.7,5,7:09:14,16:43:17,Cheyenne,38.835387,-102.604585,9.56,9.56,52.74807692,11.5267094,21.34732906,30.61206987,,Chaffee,12.22871795,43.32948718,Sample Variance,0.000145038
1/6/2020,42.9,5.2,14.4,44,0,,48.5,219,18.4,6,7:23:56,16:53:08,Clear Creek,39.689403,-105.670791,9.48,9.48,30.27692308,-0.957264957,22.5957265,49.48464103,,Cheyenne,12.22852564,52.74807692,Kurtosis,0.55285117
1/6/2020,25.6,-5.3,7.9,61.7,0,,10.7,145.3,7.3,5,7:19:05,17:02:01,Conejos,37.213407,-106.176447,9.7,9.7,42.46794872,5.815527066,21.91844729,31.84750392,,Clear Creek,12.2199359,30.27692308,Skewness,0.925618237
1/6/2020,24.7,-7.1,10.2,57.8,0,,7,232.5,9.1,5,7:16:16,16:58:51,Costilla,37.277547,-105.42894,9.7,9.7,42.11987179,5.622150997,21.9377849,51.00534989,,Conejos,12.20730769,42.46794872,Range,0.050576923
1/6/2020,51.1,20.2,33.7,38.6,0,,0,225.8,9.8,4,7:12:32,16:49:27,Crowley,38.321956,-103.787562,9.6,9.6,54.63653846,12.5758547,21.24241453,47.96537201,,Costilla,12.20967949,42.11987179,Minimum,12.20730769
1/6/2020,38.6,22.1,29.4,35.8,0,,1.6,231.3,10.1,5,7:18:16,16:56:24,Custer,38.101994,-105.373515,9.63,9.63,47.09615385,8.386752137,21.66132479,50.10264423,,Crowley,12.23538462,54.63653846,Maximum,12.25788462
1/6/2020,25.7,12.9,17.5,84.2,0,,51.2,215.3,9.3,5,7:30:21,17:04:16,Delta,38.861756,-107.864757,9.55,9.55,53.5025641,11.94586895,21.30541311,45.87055442,,Custer,12.23044872,47.09615385,Sum,782.3810256
1/6/2020,41.8,24.2,33.5,33.8,0,,22,154.8,6.7,4,7:20:59,16:49:46,Denver,39.761849,-104.880625,9.46,9.46,52.00064103,11.11146724,21.38885328,33.10994487,,Delta,12.22814103,53.5025641,Count,64
1/6/2020,34.7,12.5,22.9,62.9,0,,1.7,292.5,11.8,5,7:29:56,17:10:00,Dolores,37.747602,-108.530383,9.66,9.66,48.24166667,9.023148148,21.59768519,63.17322917,,Denver,12.21544872,52.00064103,,
1/6/2020,39.9,23.8,32,34.6,0,,15.8,239,12.1,5,7:19:54,16:51:11,Douglas,39.326435,-104.926199,9.51,9.51,49.63846154,9.799145299,21.52008547,51.43300427,,Dolores,12.22660256,48.24166667,,
1/6/2020,30.1,11,21,65.5,0,,34.7,266.5,11.5,6,7:27:51,16:57:24,Eagle,39.630638,-106.692944,9.48,9.48,44.175,6.763888889,21.82361111,58.15992361,,Douglas,12.21435897,49.63846154,,
1/6/2020,40.2,18.4,28.9,41.9,0,,6,121.3,10.9,5,7:16:38,16:48:00,Elbert,39.310817,-104.117928,9.51,9.51,48.11089744,8.950498575,21.60495014,26.20680452,,Eagle,12.22076923,44.175,,
1/6/2020,44.7,27.2,35.1,24,0,,22.4,18,2.4,0,7:16:54,16:51:00,El Paso,38.827383,-104.527472,9.56,9.56,51.20705128,10.67058405,21.4329416,3.857929487,,Elbert,12.21467949,48.11089744,,
1/6/2020,45.4,26.4,34.8,24.5,0,,53.1,283.8,12.2,6,7:19:26,16:55:37,Fremont,38.455658,-105.421438,9.6,9.6,50.81089744,10.45049858,21.45495014,60.8891485,,El Paso,12.22871795,51.20705128,,
1/6/2020,23.9,10,17.3,81.2,0,,58.9,119.9,10.3,5,7:32:37,17:02:21,Garfield,39.599352,-107.90978,9.48,9.48,49.45769231,9.698717949,21.53012821,25.81462372,,Fremont,12.23,50.81089744,,
1/6/2020,43.7,12.1,24.6,36.4,0,,33,209.9,17.5,5,7:23:51,16:52:04,Gilpin,39.861082,-105.528947,9.46,9.46,35.80384615,2.113247863,22.28867521,46.78392927,,Garfield,12.21967949,49.45769231,,
1/6/2020,23.5,14,18.4,62.7,0,,60.3,83.8,7.1,4,7:26:53,16:53:35,Grand,40.123289,-106.095876,9.43,9.43,37.11474359,2.841524217,22.21584758,18.61688027,,Gilpin,12.21269231,35.80384615,,
1/6/2020,28.5,2.7,14.1,68.8,0,,10,108.8,4.8,2,7:26:40,17:01:39,Gunnison,38.669679,-107.078108,9.56,9.56,41.28525641,5.158475783,21.98415242,23.91875783,,Grand,12.21782051,37.11474359,,
1/6/2020,29.7,10.4,18.8,60.8,0,,2.7,208.6,9,5,7:25:31,17:05:14,Hinsdale,37.811625,-107.383405,9.65,9.65,42.65128205,5.917378917,21.90826211,45.70063476,,Gunnison,12.22596154,41.28525641,,
1/6/2020,39.5,18.5,25.4,41.9,0,,0,311.5,13.4,6,7:15:29,16:55:52,Huerfano,37.687815,-104.959928,9.66,9.66,47.02884615,8.349358974,21.6650641,67.48667468,,Hinsdale,12.22435897,42.65128205,,
1/6/2020,23.8,14.1,19.1,63,0,,51.2,222.3,9.6,5,7:29:25,16:52:55,Jackson,40.663432,-106.329248,9.38,9.38,38.85,3.805555556,22.11944444,49.171525,,Huerfano,12.22474359,47.02884615,,
1/6/2020,41.9,26.7,34,33,0,,22.2,173.3,14.6,3,7:21:56,16:51:44,Jefferson,39.58646,-105.245601,9.48,9.48,52.10448718,11.16915954,21.38308405,37.05688465,,Jackson,12.25519231,38.85,,
1/6/2020,52.7,15.1,30.6,50.2,0,,0,143.4,8.7,5,7:08:36,16:45:08,Kiowa,38.388466,-102.75621,9.6,9.6,54.46923077,12.48290598,21.2517094,30.47495128,,Jefferson,12.22019231,52.10448718,,
1/6/2020,46,15.3,28.9,53.6,0,,5.3,250.4,9.9,5,7:10:33,16:41:57,Kit Carson,39.30534,-102.603023,9.51,9.51,52.73333333,11.51851852,21.34814815,53.45576296,,Kiowa,12.23326923,54.46923077,,
1/6/2020,18,8.1,13.7,57.2,4.17,['snow'],57.5,187.3,8.1,4,7:25:15,16:57:14,Lake,39.204316,-106.349696,9.51,9.51,36.26089744,2.367165242,22.26328348,41.69912995,,Kit Carson,12.21474359,52.73333333,,
1/6/2020,35.7,8.3,23.1,67,0,,0,269.5,11.7,6,7:25:56,17:08:28,La Plata,37.287367,-107.839718,9.7,9.7,49.08653846,9.492521368,21.55074786,58.07926549,,Lake,12.21532051,36.26089744,,
1/6/2020,40.1,28.2,34.4,34.4,0,,3.2,230.8,9.9,5,7:26:02,16:49:32,Larimer,40.663091,-105.482131,9.38,9.38,49.83653846,9.909188034,21.5090812,49.6429594,,La Plata,12.20955128,49.08653846,,
1/6/2020,46.3,25.2,32.7,51.3,0,,0,269.8,11.8,5,7:10:50,16:53:12,Las Animas,37.318831,-104.04411,9.7,9.7,53.37371795,11.87428775,21.31257123,57.50131717,,Larimer,12.25519231,49.83653846,,
1/6/2020,42.2,11.9,27.9,45.8,0,,1.1,260.4,10.4,5,7:13:17,16:46:27,Lincoln,38.99374,-103.507555,9.55,9.55,48.73653846,9.298076923,21.57019231,56.16878077,,Las Animas,12.21057692,53.37371795,,
1/6/2020,41.7,19.6,30.5,50.9,0,,7.7,221,9.5,5,7:16:39,16:39:46,Logan,40.728091,-103.090464,9.38,9.38,49.93333333,9.962962963,21.5037037,47.52318519,,Lincoln,12.22467949,48.73653846,,
1/6/2020,26.9,12.8,20.7,81,0,,59.2,165.1,7.1,4,7:33:11,17:06:13,Mesa,39.019492,-108.461837,9.55,9.55,54.60833333,12.56018519,21.24398148,35.07381343,,Logan,12.25788462,49.93333333,,
