Name,Estimate!!Total:,Estimate!!Total:!!Utility gas,"Estimate!!Total:!!Bottled, tank, or LP gas",Estimate!!Total:!!Electricity,"Estimate!!Total:!!Fuel oil, kerosene, etc.",Estimate!!Total:!!Coal or coke,Estimate!!Total:!!Wood,Estimate!!Total:!!Solar energy,Estimate!!Total:!!Other fuel,Estimate!!Total:!!No fuel used,State,County,State
"Phillips County, Colorado",1689,1041,264,347,2,0,0,0,25,10,8,95,
"Archuleta County, Colorado",5858,2510,1736,591,0,4,862,55,81,19,8,7,
"Denver County, Colorado",301501,202325,3435,88795,363,8,333,814,2826,2602,8,31,
"Kiowa County, Colorado",638,402,134,67,0,0,15,0,17,3,8,61,
"Huerfano County, Colorado",3225,1223,1048,413,0,0,493,19,24,5,8,55,
"Baca County, Colorado",1662,1084,381,169,0,0,9,6,13,0,8,9,
"Gilpin County, Colorado",2802,1330,349,624,0,0,363,15,121,0,8,47,
"Kit Carson County, Colorado",3004,2219,441,264,0,0,30,0,37,13,8,63,
"Gunnison County, Colorado",6616,3004,755,1959,18,35,750,42,43,10,8,51,
"Mineral County, Colorado",367,27,137,63,0,0,136,0,4,0,8,79,
"Ouray County, Colorado",2163,967,588,289,0,0,285,21,8,5,8,91,
"Sedgwick County, Colorado",967,532,209,208,0,0,5,0,11,2,8,115,
"Weld County, Colorado",104671,77851,7643,16449,180,17,1101,387,732,311,8,123,
"Custer County, Colorado",2214,52,1204,326,0,7,545,56,24,0,8,27,
"Costilla County, Colorado",1746,101,833,181,78,0,446,6,101,0,8,23,
"Douglas County, Colorado",120709,93056,3451,23004,27,0,431,275,285,180,8,35,
"Lake County, Colorado",3392,1872,476,621,74,5,282,0,62,0,8,65,
"La Plata County, Colorado",21794,10472,5170,3539,21,119,1978,243,193,59,8,67,
"Pitkin County, Colorado",7467,4019,445,2728,0,0,217,0,35,23,8,97,
"Rio Grande County, Colorado",4823,1888,879,951,19,0,930,74,75,7,8,105,
"Bent County, Colorado",1767,1244,312,133,0,10,56,0,12,0,8,11,
"Crowley County, Colorado",1301,859,195,138,0,0,105,0,0,4,8,25,
"San Juan County, Colorado",289,33,150,42,0,13,49,0,2,0,8,111,
"Larimer County, Colorado",137021,98693,5976,29085,97,30,1779,326,668,367,8,69,
"Logan County, Colorado",8393,4956,1229,2041,4,0,109,0,51,3,8,75,
"San Miguel County, Colorado",3552,1654,504,1026,18,0,302,37,0,11,8,113,
"Teller County, Colorado",10248,5424,1980,1273,4,0,1404,26,78,59,8,119,
"Elbert County, Colorado",9280,3484,4055,1000,5,0,461,12,213,50,8,39,
"Las Animas County, Colorado",6670,3435,1478,962,5,8,676,15,57,34,8,71,
"Lincoln County, Colorado",1518,875,360,215,3,0,37,0,22,6,8,73,
"Summit County, Colorado",10641,5120,198,4830,34,0,333,22,51,53,8,117,
"Alamosa County, Colorado",6162,3086,767,1628,34,2,458,28,113,46,8,3,
"Delta County, Colorado",11883,6032,1806,2389,27,162,1183,78,173,33,8,29,
"Fremont County, Colorado",17136,11548,2119,1960,5,5,1290,26,130,53,8,43,
"Montrose County, Colorado",17140,10582,2055,2560,51,60,1490,58,175,109,8,85,
"Morgan County, Colorado",10928,5358,1664,3563,12,0,236,13,79,3,8,87,
"Saguache County, Colorado",2860,690,985,358,17,13,674,37,52,34,8,109,
"Prowers County, Colorado",4888,3871,361,522,19,0,58,0,32,25,8,99,
"Washington County, Colorado",2087,799,722,467,3,0,50,0,29,17,8,121,
"Grand County, Colorado",5884,2572,669,2075,0,25,477,0,61,5,8,49,
"Otero County, Colorado",7722,6186,424,852,0,0,183,0,39,38,8,89,
"Broomfield County, Colorado",27470,20020,459,6577,0,0,44,79,230,61,8,14,
"Hinsdale County, Colorado",377,18,163,69,0,2,123,0,2,0,8,53,
"Dolores County, Colorado",759,225,299,88,0,0,136,0,11,0,8,33,
"Jackson County, Colorado",558,140,69,168,0,0,181,0,0,0,8,57,
"Montezuma County, Colorado",10655,3910,3122,1661,55,69,1678,0,158,2,8,83,
"Boulder County, Colorado",127415,91532,3698,29079,109,0,1225,635,642,495,8,13,
"Yuma County, Colorado",4028,2218,1048,635,3,0,56,0,43,25,8,125,
"Routt County, Colorado",9603,4355,1425,2841,0,23,851,0,108,0,8,107,
"Clear Creek County, Colorado",4395,2248,806,755,14,0,428,75,57,12,8,19,
"Pueblo County, Colorado",64314,48589,2747,10954,39,0,1119,52,585,229,8,101,
"Park County, Colorado",6931,2751,2094,734,0,0,1173,28,151,0,8,93,
"Mesa County, Colorado",61742,46784,2299,9926,12,43,1747,252,530,149,8,77,
"El Paso County, Colorado",257507,184131,9537,59724,181,41,1594,219,1127,953,8,41,
"Arapahoe County, Colorado",240304,166917,3211,66909,198,94,571,553,877,974,8,5,
"Chaffee County, Colorado",8231,3889,2025,1231,19,14,840,91,91,31,8,15,
"Garfield County, Colorado",21498,13979,1437,4777,10,33,943,85,180,54,8,45,
"Jefferson County, Colorado",232284,172547,5117,48865,180,15,2174,848,1400,1138,8,59,
"Rio Blanco County, Colorado",2301,1353,238,509,0,0,162,0,23,16,8,103,
"Conejos County, Colorado",3183,1308,475,295,22,8,1020,12,33,10,8,21,
"Adams County, Colorado",166450,121111,2294,40776,121,15,393,386,718,636,8,1,
"Eagle County, Colorado",18171,11534,786,5165,0,0,373,71,217,25,8,37,
"Moffat County, Colorado",5366,3403,659,896,0,34,259,15,68,32,8,81,
"Cheyenne County, Colorado",774,396,253,101,5,0,10,0,9,0,8,17,
