Name,Census_Population
"Alamosa County, Colorado",16153
"Archuleta County, Colorado",13588
"Baca County, Colorado",3570
"Boulder County, Colorado",324682
"Broomfield County, Colorado",69444
"Cheyenne County, Colorado",1999
"Conejos County, Colorado",8130
"Costilla County, Colorado",3810
"Custer County, Colorado",4941
"Delta County, Colorado",30758
"Dolores County, Colorado",1896
"Douglas County, Colorado",344280
"Eagle County, Colorado",54960
"Elbert County, Colorado",26230
"El Paso County, Colorado",710499
"Fremont County, Colorado",47725
"Garfield County, Colorado",59605
"Gilpin County, Colorado",6108
"Grand County, Colorado",15536
"Gunnison County, Colorado",17119
"Hinsdale County, Colorado",781
"Huerfano County, Colorado",6769
"Jackson County, Colorado",1316
"Jefferson County, Colorado",578795
"Kiowa County, Colorado",1463
"Kit Carson County, Colorado",7246
"Lake County, Colorado",7845
"La Plata County, Colorado",56138
"Larimer County, Colorado",350523
"Las Animas County, Colorado",14323
"Lincoln County, Colorado",5608
"Logan County, Colorado",22282
"Mesa County, Colorado",152962
"Moffat County, Colorado",13150
"Montezuma County, Colorado",26266
"Morgan County, Colorado",28617
"Ouray County, Colorado",4890
"Park County, Colorado",18345
"Pitkin County, Colorado",17980
"Prowers County, Colorado",12035
"Rio Blanco County, Colorado",6369
"Rio Grande County, Colorado",11300
"Saguache County, Colorado",6730
"San Miguel County, Colorado",8110
"Sedgwick County, Colorado",2306
"Teller County, Colorado",24981
"Washington County, Colorado",4869
"Yuma County, Colorado",10013
"Adams County, Colorado",509844
"Arapahoe County, Colorado",649980
"Bent County, Colorado",5677
"Chaffee County, Colorado",19977
"Clear Creek County, Colorado",9533
"Crowley County, Colorado",5733
"Denver County, Colorado",715878
"Mineral County, Colorado",853
"Montrose County, Colorado",42280
"Otero County, Colorado",18284
"Phillips County, Colorado",4343
"Pueblo County, Colorado",167412
"Routt County, Colorado",25317
"San Juan County, Colorado",646
"Summit County, Colorado",30735
"Weld County, Colorado",315389
