Name,Estimate!!Total,State,County,State
"Adams County, Colorado",514969,08,001
"Alamosa County, Colorado",16377,08,003
"Arapahoe County, Colorado",651621,08,005
"Archuleta County, Colorado",13267,08,007
"Baca County, Colorado",3519,08,009
"Bent County, Colorado",5861,08,011
"Boulder County, Colorado",328713,08,013
"Broomfield County, Colorado",72697,08,014
"Chaffee County, Colorado",19436,08,015
"Cheyenne County, Colorado",1691,08,017
"Clear Creek County, Colorado",9427,08,019
"Conejos County, Colorado",7579,08,021
"Costilla County, Colorado",3517,08,023
"Crowley County, Colorado",6018,08,025
"Custer County, Colorado",4720,08,027
"Delta County, Colorado",31133,08,029
"Denver County, Colorado",706799,08,031
"Dolores County, Colorado",2288,08,033
"Douglas County, Colorado",351929,08,035
"Eagle County, Colorado",55693,08,037
"Elbert County, Colorado",25897,08,039
"El Paso County, Colorado",722736,08,041
"Fremont County, Colorado",49007,08,043
"Garfield County, Colorado",61221,08,045
"Gilpin County, Colorado",5812,08,047
"Grand County, Colorado",15629,08,049
"Gunnison County, Colorado",16851,08,051
"Hinsdale County, Colorado",858,08,053
"Huerfano County, Colorado",6787,08,055
"Jackson County, Colorado",1375,08,057
"Jefferson County, Colorado",580130,08,059
"Kiowa County, Colorado",1414,08,061
"Kit Carson County, Colorado",7071,08,063
"Lake County, Colorado",7417,08,065
"La Plata County, Colorado",55673,08,067
"Larimer County, Colorado",354670,08,069
"Las Animas County, Colorado",14531,08,071
"Lincoln County, Colorado",5630,08,073
"Logan County, Colorado",21765,08,075
"Mesa County, Colorado",154685,08,077
"Mineral County, Colorado",794,08,079
"Moffat County, Colorado",13240,08,081
"Montezuma County, Colorado",25916,08,083
"Montrose County, Colorado",42328,08,085
"Morgan County, Colorado",28868,08,087
"Otero County, Colorado",18665,08,089
"Ouray County, Colorado",4850,08,091
"Park County, Colorado",17384,08,093
"Phillips County, Colorado",4497,08,095
"Pitkin County, Colorado",17471,08,097
"Prowers County, Colorado",11966,08,099
"Pueblo County, Colorado",167453,08,101
"Rio Blanco County, Colorado",6495,08,103
"Rio Grande County, Colorado",11476,08,105
"Routt County, Colorado",24899,08,107
"Saguache County, Colorado",6369,08,109
"San Juan County, Colorado",698,08,111
"San Miguel County, Colorado",8084,08,113
"Sedgwick County, Colorado",2459,08,115
"Summit County, Colorado",31042,08,117
"Teller County, Colorado",24607,08,119
"Washington County, Colorado",4834,08,121
"Weld County, Colorado",322424,08,123
"Yuma County, Colorado",9944,08,125
