County,Estimate!!Total:,Estimate!!Total:!!Utility gas,"Estimate!!Total:!!Bottled, tank, or LP gas",Estimate!!Total:!!Electricity,"Estimate!!Total:!!Fuel oil, kerosene, etc.",Estimate!!Total:!!Coal or coke,Estimate!!Total:!!Wood,Estimate!!Total:!!Solar energy,Estimate!!Total:!!Other fuel,Estimate!!Total:!!No fuel used,State,County Number,State.1,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
Phillips,1689,1041,264,347,2,0,0,0,25,10,8,95,,8095,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.35384615384616,39.351282051282055,52.93974358974359,56.822435897435895,2.5908333333333333,16.762820512820515,222.43653846153845,14.953846153846156,5.9423076923076925
Archuleta,5858,2510,1736,591,0,4,862,55,81,19,8,7,,8007,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.49038461538461,32.628846153846155,45.60769230769231,54.28782051282051,6.196666666666666,27.409615384615382,218.16730769230767,17.63525641025641,7.038461538461538
Denver,301501,202325,3435,88795,363,8,333,814,2826,2602,8,31,,8031,Denver,"600,158",396.269,153,4.225,1.631,400.494,154.631,39.761849,-104.880625,65.84807692307692,39.69935897435898,52.00064102564103,46.85769230769231,5.128076923076923,51.62948717948718,244.5923076923077,14.983333333333334,6.282051282051282
Kiowa,638,402,134,67,0,0,15,0,17,3,8,61,,8061,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621,71.19102564102563,38.97179487179488,54.469230769230776,51.23141025641026,3.365448717948718,19.105128205128207,207.47820512820513,16.956410256410255,6.910256410256411
Huerfano,3225,1223,1048,413,0,0,493,19,24,5,8,55,,8055,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.37692307692307,35.86538461538461,47.02884615384615,47.954487179487174,6.3037820512820515,22.92948717948718,261.19679487179485,16.14679487179487,7.288461538461538
Baca,1662,1084,381,169,0,0,9,6,13,0,8,9,,8009,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.80897435897437,40.61217948717949,55.19230769230769,50.41538461538462,2.9646794871794873,18.840384615384615,295.0083333333333,17.812179487179485,7.262820512820513
Gilpin,2802,1330,349,624,0,0,363,15,121,0,8,47,,8047,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.419871794871796,27.80448717948718,35.80384615384615,51.574999999999996,9.615705128205128,31.28653846153846,275.80384615384617,23.807692307692307,7.044871794871795
Kit Carson,3004,2219,441,264,0,0,30,0,37,13,8,63,,8063,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.75961538461539,39.10320512820513,52.733333333333334,52.843589743589746,4.674038461538461,21.517307692307693,234.5596153846154,16.60192307692308,6.685897435897436
Gunnison,6616,3004,755,1959,18,35,750,42,43,10,8,51,,8051,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.43782051282051,26.791025641025637,41.28525641025641,55.292307692307695,7.371794871794871,26.16602564102564,235.13076923076923,15.866666666666665,6.660256410256411
Mineral,367,27,137,63,0,0,136,0,4,0,8,79,,8079,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.08974358974359,29.94423076923077,38.50064102564103,55.61730769230769,5.342051282051282,32.90384615384615,217.61217948717947,18.5724358974359,7.75
Ouray,2163,967,588,289,0,0,285,21,8,5,8,91,,8091,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.00064102564103,36.74487179487179,46.43141025641026,45.47115384615385,5.582307692307692,31.28846153846154,267.9666666666667,16.15705128205128,7.262820512820513
