County,AVG Potential Energy,AVG Temp,AVG Cloud Cover,Rank Fun,Rank
Baca,62.57580609,55.19230769,18.84038462,40.37588381,1
Mesa,60.99010904,54.60833333,18.25897436,39.58239426,2
Alamosa,66.96742819,44.25705128,19.875,39.57922692,3
Saguache,67.0574998,44.84679487,22.36858974,39.14830118,4
Las Animas,59.69309652,53.37371795,17.80064103,38.73981749,5
Elbert,62.52458722,48.11089744,23.60320513,37.38921669,6
Delta,57.07897716,53.5025641,19.7224359,36.98452063,7
Lincoln,60.62205759,48.73653846,22.90897436,36.76791982,8
Pueblo,55.13067428,53.89038462,18.09935897,36.51309355,9
Crowley,53.30960946,54.63653846,16.00833333,36.31185601,10
San Miguel,63.01296023,47.36987179,29.47820513,35.97939678,11
Dolores,59.91876259,48.24166667,25.5525641,35.63165694,12
Montrose,56.16199217,51.425,21.5474359,35.55038711,13
Fremont,63.46305486,50.81089744,36.24230769,35.37367487,14
Bent,51.26905797,54.68974359,17.59230769,34.90888796,15
Rio Blanco,59.67674466,45.39358974,25.39487179,34.83805182,16
Moffat,60.77622249,44.3224359,26.75961538,34.77881637,17
Conejos,59.4446556,42.46794872,23.125,34.55806498,18
Otero,46.9779747,53.66346154,9.526923077,34.52312196,19
Huerfano,56.58845304,47.02884615,22.92948718,34.31906626,20
Custer,55.54269155,47.09615385,21.39294872,34.19714706,21
Prowers,50.29324915,54.42371795,19.17820513,33.95800278,22
Montezuma,51.06643474,50.63653846,18.4275641,33.58546096,23
Routt,61.6563565,42.48653846,32.12948718,33.41744107,24
Ouray,58.14409061,46.43141026,31.28846154,32.85778249,25
Kit Carson,50.07413419,52.73333333,21.51730769,32.8410735,26
Phillips,47.46057444,52.93974359,16.76282051,32.77451799,27
Sedgwick,49.40904121,51.87371795,19.68397436,32.7519565,28
Garfield,52.38100775,49.45769231,23.65448718,32.64130516,29
Weld,51.0824394,49.63141026,21.29679487,32.62487355,30
Douglas,59.81949194,49.63846154,39.20512821,32.5180793,31
Rio Grande,58.33096661,40.18205128,27.62179487,32.30554741,32
Teller,57.77018816,50.39038462,37.49487179,32.10897229,33
Logan,50.32431828,49.93333333,22.77564103,31.95158222,34
Gilpin,61.4730235,35.80384615,31.28653846,31.86583867,35
Larimer,48.66898408,49.83653846,20.01410256,31.79010102,36
La Plata,49.03568756,49.08653846,20.79807692,31.58995916,37
San Juan,57.48308461,44.97564103,33.88589744,31.5139782,38
Costilla,52.99929766,42.11987179,22.65128205,31.36679627,39
Morgan,48.24266114,50.53461538,22.37564103,31.16107416,40
Kiowa,44.09266523,54.46923077,19.10512821,30.88735825,41
Washington,47.01919013,50.93076923,22.29807692,30.66776814,42
Eagle,53.78806675,44.175,31.73589744,30.00380901,43
Hinsdale,55.6063993,42.65128205,33.89166667,29.99310349,44
Cheyenne,43.94689792,52.74807692,21.51858974,29.78082075,45
Gunnison,51.6915067,41.28525641,26.16602564,29.62556104,46
Jackson,55.08464802,38.85,30.69038462,29.58222786,47
Chaffee,54.02609063,43.32948718,33.38717949,29.49862224,48
Yuma,43.56775207,52.40705128,23.47692308,29.01640808,49
Pitkin,52.3717953,43.6,33.17884615,28.79118611,50
Adams,57.17170512,52.21666667,51.70833333,28.7129359,51
Clear Creek,61.94010072,30.27692308,39.74487179,28.60306318,52
Boulder,42.85284977,47.41602564,19.48397436,28.40943771,53
Archuleta,47.43833668,45.60769231,27.40961538,28.26868757,54
Arapahoe,53.48916816,52.12371795,51.72179487,26.84506485,55
Denver,52.31548982,52.00064103,51.62948718,26.25053337,56
El Paso,47.77141639,51.20705128,43.44166667,25.82705435,57
Mineral,48.17684113,38.50064103,32.90384615,25.48761928,58
Broomfield,36.50258001,52.74358974,24.45705128,25.32292462,59
Jefferson,47.24989926,52.10448718,45.32435897,25.31998168,60
Grand,47.44635719,37.11474359,33.03910256,24.74208885,61
Park,48.09064322,36.575,34.45961538,24.57416776,62
Summit,49.1037478,35.57307692,42.20641026,22.89354057,63
Lake,45.09099827,36.26089744,37.10705128,22.33396068,64
