Name,Estimate!!Total,State,County,State
"Alamosa County, Colorado",16153,08,003
"Archuleta County, Colorado",13588,08,007
"Baca County, Colorado",3570,08,009
"Boulder County, Colorado",324682,08,013
"Broomfield County, Colorado",69444,08,014
"Cheyenne County, Colorado",1999,08,017
"Conejos County, Colorado",8130,08,021
"Costilla County, Colorado",3810,08,023
"Custer County, Colorado",4941,08,027
"Delta County, Colorado",30758,08,029
"Dolores County, Colorado",1896,08,033
"Douglas County, Colorado",344280,08,035
"Eagle County, Colorado",54960,08,037
"Elbert County, Colorado",26230,08,039
"El Paso County, Colorado",710499,08,041
"Fremont County, Colorado",47725,08,043
"Garfield County, Colorado",59605,08,045
"Gilpin County, Colorado",6108,08,047
"Grand County, Colorado",15536,08,049
"Gunnison County, Colorado",17119,08,051
"Hinsdale County, Colorado",781,08,053
"Huerfano County, Colorado",6769,08,055
"Jackson County, Colorado",1316,08,057
"Jefferson County, Colorado",578795,08,059
"Kiowa County, Colorado",1463,08,061
"Kit Carson County, Colorado",7246,08,063
"Lake County, Colorado",7845,08,065
"La Plata County, Colorado",56138,08,067
"Larimer County, Colorado",350523,08,069
"Las Animas County, Colorado",14323,08,071
"Lincoln County, Colorado",5608,08,073
"Logan County, Colorado",22282,08,075
"Mesa County, Colorado",152962,08,077
"Moffat County, Colorado",13150,08,081
"Montezuma County, Colorado",26266,08,083
"Morgan County, Colorado",28617,08,087
"Ouray County, Colorado",4890,08,091
"Park County, Colorado",18345,08,093
"Pitkin County, Colorado",17980,08,097
"Prowers County, Colorado",12035,08,099
"Rio Blanco County, Colorado",6369,08,103
"Rio Grande County, Colorado",11300,08,105
"Saguache County, Colorado",6730,08,109
"San Miguel County, Colorado",8110,08,113
"Sedgwick County, Colorado",2306,08,115
"Teller County, Colorado",24981,08,119
"Washington County, Colorado",4869,08,121
"Yuma County, Colorado",10013,08,125
"Adams County, Colorado",509844,08,001
"Arapahoe County, Colorado",649980,08,005
"Bent County, Colorado",5677,08,011
"Chaffee County, Colorado",19977,08,015
"Clear Creek County, Colorado",9533,08,019
"Crowley County, Colorado",5733,08,025
"Denver County, Colorado",715878,08,031
"Mineral County, Colorado",853,08,079
"Montrose County, Colorado",42280,08,085
"Otero County, Colorado",18284,08,089
"Phillips County, Colorado",4343,08,095
"Pueblo County, Colorado",167412,08,101
"Routt County, Colorado",25317,08,107
"San Juan County, Colorado",646,08,111
"Summit County, Colorado",30735,08,117
"Weld County, Colorado",315389,08,123
