period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2022,57317,San Luis Valley Solar Ranch,SUN,Solar,CO,Colorado,ALL,64500.0,megawatthours
2022,61991,"Pioneer Solar (CO), LLC",SUN,Solar,CO,Colorado,PV,204349.0,megawatthours
2022,61991,"Pioneer Solar (CO), LLC",SUN,Solar,CO,Colorado,ALL,204349.0,megawatthours
2022,61811,Titan Solar,SUN,Solar,CO,Colorado,PV,109929.0,megawatthours
2022,61811,Titan Solar,SUN,Solar,CO,Colorado,ALL,109929.0,megawatthours
2022,59656,Comanche Solar,SUN,Solar,CO,Colorado,PV,231609.0,megawatthours
2022,59656,Comanche Solar,SUN,Solar,CO,Colorado,ALL,231609.0,megawatthours
2022,60304,"San Isabel Solar, LLC",SUN,Solar,CO,Colorado,PV,75626.0,megawatthours
2022,60304,"San Isabel Solar, LLC",SUN,Solar,CO,Colorado,ALL,75626.0,megawatthours
2022,62495,Palmer Solar,SUN,Solar,CO,Colorado,PV,151874.0,megawatthours
2022,62495,Palmer Solar,SUN,Solar,CO,Colorado,ALL,151874.0,megawatthours
2022,63770,Bighorn Solar 1,SUN,Solar,CO,Colorado,PV,588546.0,megawatthours
2022,63770,Bighorn Solar 1,SUN,Solar,CO,Colorado,ALL,588546.0,megawatthours
2022,62376,Grazing Yak Solar,SUN,Solar,CO,Colorado,PV,86060.0,megawatthours
2022,62376,Grazing Yak Solar,SUN,Solar,CO,Colorado,ALL,86060.0,megawatthours
2022,65032,Sun Mountain Solar 1,SUN,Solar,CO,Colorado,PV,22748.0,megawatthours
2022,65032,Sun Mountain Solar 1,SUN,Solar,CO,Colorado,ALL,22748.0,megawatthours
2022,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,PV,66073.0,megawatthours
2022,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,ALL,66073.0,megawatthours
2022,57317,San Luis Valley Solar Ranch,SUN,Solar,CO,Colorado,PV,64500.0,megawatthours
2021,61462,SR Platte Solar Farm,SUN,Solar,CO,Colorado,ALL,36700.0,megawatthours
2021,63278,CO LI CSG 1 - Kamerra,SUN,Solar,CO,Colorado,PV,3710.0,megawatthours
2021,63278,CO LI CSG 1 - Kamerra,SUN,Solar,CO,Colorado,ALL,3710.0,megawatthours
2021,63277,Mtn. Solar 2,SUN,Solar,CO,Colorado,PV,3536.0,megawatthours
2021,63277,Mtn. Solar 2,SUN,Solar,CO,Colorado,ALL,3536.0,megawatthours
2021,63276,Mtn. Solar 1,SUN,Solar,CO,Colorado,PV,3458.0,megawatthours
2021,63276,Mtn. Solar 1,SUN,Solar,CO,Colorado,ALL,3458.0,megawatthours
2021,61606,Vilas Solar Array,SUN,Solar,CO,Colorado,PV,9997.0,megawatthours
2021,61606,Vilas Solar Array,SUN,Solar,CO,Colorado,ALL,9997.0,megawatthours
2021,61605,San Luis Valley Solar Array,SUN,Solar,CO,Colorado,PV,6642.0,megawatthours
2021,61605,San Luis Valley Solar Array,SUN,Solar,CO,Colorado,ALL,6642.0,megawatthours
2021,61314,SR Kersey,SUN,Solar,CO,Colorado,PV,7982.0,megawatthours
2021,61314,SR Kersey,SUN,Solar,CO,Colorado,ALL,7982.0,megawatthours
2021,60248,Skylark,SUN,Solar,CO,Colorado,PV,9280.0,megawatthours
2021,60248,Skylark,SUN,Solar,CO,Colorado,ALL,9280.0,megawatthours
2021,60247,Valley View Solar,SUN,Solar,CO,Colorado,PV,9775.0,megawatthours
2021,60247,Valley View Solar,SUN,Solar,CO,Colorado,ALL,9775.0,megawatthours
2021,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,12321.0,megawatthours
2021,56481,SunE Alamosa,SUN,Solar,CO,Colorado,ALL,12321.0,megawatthours
2021,60764,Victory Solar LLC,SUN,Solar,CO,Colorado,PV,29027.0,megawatthours
2021,60764,Victory Solar LLC,SUN,Solar,CO,Colorado,ALL,29027.0,megawatthours
2021,64880,Venture 1 - 1A CSG,SUN,Solar,CO,Colorado,PV,2171.0,megawatthours
2021,64880,Venture 1 - 1A CSG,SUN,Solar,CO,Colorado,ALL,2171.0,megawatthours
2021,64831,Oak Leaf Solar XVIII LLC,SUN,Solar,CO,Colorado,PV,0.0,megawatthours
2021,64831,Oak Leaf Solar XVIII LLC,SUN,Solar,CO,Colorado,ALL,0.0,megawatthours
2021,58481,CSU Pueblo,SUN,Solar,CO,Colorado,PV,2106.0,megawatthours
2021,58481,CSU Pueblo,SUN,Solar,CO,Colorado,ALL,2106.0,megawatthours
2021,65609,Gilcrest Sun CSG,SUN,Solar,CO,Colorado,PV,0.0,megawatthours
2021,65609,Gilcrest Sun CSG,SUN,Solar,CO,Colorado,ALL,0.0,megawatthours
2021,65520,Vasquez V CSG,SUN,Solar,CO,Colorado,PV,428.0,megawatthours
2021,65520,Vasquez V CSG,SUN,Solar,CO,Colorado,ALL,428.0,megawatthours
2021,63092,Riverview Solar,SUN,Solar,CO,Colorado,PV,3465.0,megawatthours
2021,63092,Riverview Solar,SUN,Solar,CO,Colorado,ALL,3465.0,megawatthours
2021,57509,Carson Solar I,SUN,Solar,CO,Colorado,PV,3326.0,megawatthours
2021,57509,Carson Solar I,SUN,Solar,CO,Colorado,ALL,3326.0,megawatthours
2021,57507,RV CSU Power II LLC,SUN,Solar,CO,Colorado,PV,3832.0,megawatthours
2021,57507,RV CSU Power II LLC,SUN,Solar,CO,Colorado,ALL,3832.0,megawatthours
2021,60726,Xcel Adams 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3608.0,megawatthours
2021,60726,Xcel Adams 1 Community Solar Array,SUN,Solar,CO,Colorado,ALL,3608.0,megawatthours
2021,60725,Xcel Adams 2 Community Solar Array,SUN,Solar,CO,Colorado,PV,3689.0,megawatthours
2021,60725,Xcel Adams 2 Community Solar Array,SUN,Solar,CO,Colorado,ALL,3689.0,megawatthours
2021,60724,Arapahoe 3 Community Solar Array,SUN,Solar,CO,Colorado,PV,3680.0,megawatthours
2021,60724,Arapahoe 3 Community Solar Array,SUN,Solar,CO,Colorado,ALL,3680.0,megawatthours
2021,60723,Conejos 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,4194.0,megawatthours
2021,60723,Conejos 1 Community Solar Array,SUN,Solar,CO,Colorado,ALL,4194.0,megawatthours
2021,60722,Logan 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3437.0,megawatthours
2021,60722,Logan 1 Community Solar Array,SUN,Solar,CO,Colorado,ALL,3437.0,megawatthours
2021,60720,Weld 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3386.0,megawatthours
2021,60720,Weld 1 Community Solar Array,SUN,Solar,CO,Colorado,ALL,3386.0,megawatthours
2021,61425,Coyote Ridge Community Solar,SUN,Solar,CO,Colorado,PV,3210.0,megawatthours
2021,61425,Coyote Ridge Community Solar,SUN,Solar,CO,Colorado,ALL,3210.0,megawatthours
2021,63770,Bighorn Solar 1,SUN,Solar,CO,Colorado,PV,64709.0,megawatthours
2021,63770,Bighorn Solar 1,SUN,Solar,CO,Colorado,ALL,64709.0,megawatthours
2021,61811,Titan Solar,SUN,Solar,CO,Colorado,PV,104564.0,megawatthours
2021,61811,Titan Solar,SUN,Solar,CO,Colorado,ALL,104564.0,megawatthours
2021,63681,Oak Leaf Solar XXXIII LLC (Lantz),SUN,Solar,CO,Colorado,PV,3959.0,megawatthours
2021,63681,Oak Leaf Solar XXXIII LLC (Lantz),SUN,Solar,CO,Colorado,ALL,3959.0,megawatthours
2021,57681,City of Boulder WWTP,SUN,Solar,CO,Colorado,PV,1293.0,megawatthours
2021,57681,City of Boulder WWTP,SUN,Solar,CO,Colorado,ALL,1293.0,megawatthours
2021,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,1463.0,megawatthours
