period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units,,,
2021,59850,Adams Community Solar Garden III LLC,SUN,Solar,CO,Colorado,PV,1310,megawatthours,,Adams Community Solar Garden III LLC,Adams
2021,59849,Adams Community Solar Garden LLC,SUN,Solar,CO,Colorado,PV,1995,megawatthours,,Adams Community Solar Garden LLC,Adams
2021,57554,AFA Solar Farm,SUN,Solar,CO,Colorado,PV,11577,megawatthours,,AFA Solar Farm,El Paso
2021,59807,Airport 1 Solar (DIA),SUN,Solar,CO,Colorado,PV,2300,megawatthours,,Airport 1 Solar (DIA),Denver
2021,64266,Alamosa Solar South CSG,SUN,Solar,CO,Colorado,PV,4356,megawatthours,,Alamosa Solar South CSG,Alamosa
2021,64021,Alden Solar CSG LLC,SUN,Solar,CO,Colorado,PV,3496,megawatthours,,Alden Solar CSG LLC,Weld
2021,63536,Amazon DEN2 Solar Project,SUN,Solar,CO,Colorado,PV,214,megawatthours,,Amazon DEN2 Solar Project,Adams
2021,62877,Amazon Denver DEN3,SUN,Solar,CO,Colorado,PV,628,megawatthours,,Amazon Denver DEN3,
2021,60724,Arapahoe 3 Community Solar Array,SUN,Solar,CO,Colorado,PV,3680,megawatthours,,Arapahoe 3 Community Solar Array,Arapahoe
2021,61886,Bar D,SUN,Solar,CO,Colorado,PV,9190,megawatthours,,Bar D,Rio Blanco
2022,63770,Bighorn Solar 1,SUN,Solar,CO,Colorado,PV,588546,megawatthours,,Bighorn Solar 1,Pueblo
2022,60351,Bison Solar LLC,SUN,Solar,CO,Colorado,PV,66073,megawatthours,,Bison Solar LLC,Larimer
2021,59144,Brighton PV Solar Plant,SUN,Solar,CO,Colorado,PV,3278,megawatthours,,Brighton PV Solar Plant,Adams
2021,57509,Carson Solar I,SUN,Solar,CO,Colorado,PV,3326,megawatthours,,Carson Solar I,El Paso
2021,60801,"CEC Solar #1117, LLC",SUN,Solar,CO,Colorado,PV,5139,megawatthours,,"CEC Solar #1117, LLC",Pueblo
2021,57645,City & County of Denver at Denver Int'l,SUN,Solar,CO,Colorado,PV,5260,megawatthours,,City & County of Denver at Denver Int'l,Denver
2021,57681,City of Boulder WWTP,SUN,Solar,CO,Colorado,PV,1293,megawatthours,,City of Boulder WWTP,Boulder
2021,60511,Clear Spring Ranch PV Project,SUN,Solar,CO,Colorado,PV,22304,megawatthours,,Clear Spring Ranch PV Project,El Paso
2021,63278,CO LI CSG 1 - Kamerra,SUN,Solar,CO,Colorado,PV,3710,megawatthours,,CO LI CSG 1 - Kamerra,
2021,57368,Cogentrix of Alamosa,SUN,Solar,CO,Colorado,PV,43947,megawatthours,,Cogentrix of Alamosa,Alamosa
2022,59656,Comanche Solar,SUN,Solar,CO,Colorado,PV,231609,megawatthours,,Comanche Solar,Pueblo
2021,60723,Conejos 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,4194,megawatthours,,Conejos 1 Community Solar Array,Conejos
2021,61425,Coyote Ridge Community Solar,SUN,Solar,CO,Colorado,PV,3210,megawatthours,,Coyote Ridge Community Solar,Larimer
2021,58481,CSU Pueblo,SUN,Solar,CO,Colorado,PV,2106,megawatthours,,CSU Pueblo,Pueblo
2021,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,1463,megawatthours,,Denver Int Airport,Denver
2021,59462,Denver Intl Airport IV Solar,SUN,Solar,CO,Colorado,PV,3000,megawatthours,,Denver Intl Airport IV Solar,Denver
2020,61563,Denver Metro Solar,SUN,Solar,CO,Colorado,PV,3754,megawatthours,,Denver Metro Solar,Adams
2021,59239,Eagle Springs Solar LLC,SUN,Solar,CO,Colorado,PV,1718,megawatthours,,Eagle Springs Solar LLC,Garfield
2021,64031,"Fremont CO 1, LLC",SUN,Solar,CO,Colorado,PV,3932,megawatthours,,"Fremont CO 1, LLC",Fremont
2021,62663,Gilcrest Solar,SUN,Solar,CO,Colorado,PV,6592,megawatthours,,Gilcrest Solar,Weld
2021,65609,Gilcrest Sun CSG,SUN,Solar,CO,Colorado,PV,0,megawatthours,,Gilcrest Sun CSG,Weld
2021,64386,Gilcrest V CSG,SUN,Solar,CO,Colorado,PV,9466,megawatthours,,Gilcrest V CSG,Weld
2022,62376,Grazing Yak Solar,SUN,Solar,CO,Colorado,PV,86060,megawatthours,,Grazing Yak Solar,El Paso
2021,57377,Greater Sandhill I,SUN,Solar,CO,Colorado,PV,46033,megawatthours,,Greater Sandhill I,Alamosa
2021,60008,Hooper Solar,SUN,Solar,CO,Colorado,PV,106355,megawatthours,,Hooper Solar,Alamosa
2021,63869,IBM Solar,SUN,Solar,CO,Colorado,PV,15365,megawatthours,,IBM Solar,Boulder
2021,61753,Imboden Solar Garden,SUN,Solar,CO,Colorado,PV,6354,megawatthours,,Imboden Solar Garden,Adams
2021,64200,Jack's Solar Garden,SUN,Solar,CO,Colorado,PV,1958,megawatthours,,Jack's Solar Garden,Boulder
2021,60320,Jeffco Community Solar Gardens LLC,SUN,Solar,CO,Colorado,PV,2093,megawatthours,,Jeffco Community Solar Gardens LLC,
2021,62667,Lafayette Horizon Solar CSG LLC,SUN,Solar,CO,Colorado,PV,3551,megawatthours,,Lafayette Horizon Solar CSG LLC,Broomfield
2021,60722,Logan 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3437,megawatthours,,Logan 1 Community Solar Array,Logan
2021,62719,Mesa CSG 1 Murdock,SUN,Solar,CO,Colorado,PV,3852,megawatthours,,Mesa CSG 1 Murdock,Mesa
2021,62718,Mesa CSG 2 Massicotte,SUN,Solar,CO,Colorado,PV,3157,megawatthours,,Mesa CSG 2 Massicotte,Mesa
2021,59199,Mesa PV1,SUN,Solar,CO,Colorado,PV,3424,megawatthours,,Mesa PV1,Mesa
2021,64024,"Monte Vista Solar 2 CSG, LLC",SUN,Solar,CO,Colorado,PV,4334,megawatthours,,"Monte Vista Solar 2 CSG, LLC",
2021,63276,Mtn. Solar 1,SUN,Solar,CO,Colorado,PV,3458,megawatthours,,Mtn. Solar 1,Adams
