,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
0,Phillips,1696.0,934.0,298.0,409.0,2.0,0.0,9.0,0.0,41.0,3.0,8.0,95.0,2017,4327.0,8095.0,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769
1,Phillips,1668.0,982.0,313.0,331.0,2.0,0.0,9.0,0.0,23.0,8.0,8.0,95.0,2018,4318.0,8095.0,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769
2,Phillips,1689.0,1041.0,264.0,347.0,2.0,0.0,0.0,0.0,25.0,10.0,8.0,95.0,2019,4290.0,8095.0,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769
3,Phillips,1737.0,1159.0,264.0,277.0,3.0,0.0,1.0,0.0,26.0,7.0,8.0,95.0,2020,4343.0,8095.0,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769
4,Phillips,1733.5,1212.5,247.0,246.0,3.0,0.0,0.0,0.0,18.0,10.5,,,2021,,,,,,,,,,,,,,,,,,,,,
5,Archuleta,5553.0,2437.0,1435.0,675.0,0.0,20.0,852.0,57.0,57.0,20.0,8.0,7.0,2017,12592.0,8007.0,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154
6,Archuleta,5670.0,2337.0,1711.0,563.0,0.0,10.0,922.0,66.0,39.0,22.0,8.0,7.0,2018,12908.0,8007.0,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154
7,Archuleta,5858.0,2510.0,1736.0,591.0,0.0,4.0,862.0,55.0,81.0,19.0,8.0,7.0,2019,13253.0,8007.0,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154
8,Archuleta,5736.0,2363.0,1700.0,599.0,0.0,125.0,804.0,58.0,79.0,8.0,8.0,7.0,2020,13588.0,8007.0,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154
9,Archuleta,5888.5,2399.5,1850.5,557.0,0.0,117.0,809.0,57.0,91.0,7.5,,,2021,,,,,,,,,,,,,,,,,,,,,
