County,Population,Latitude,Longitude
Adams,"519,572",39.874325,-104.331872
Alamosa,"16,376",37.568442,-105.788041
Arapahoe,"655,070",39.644632,-104.331733
Archuleta,"13,359",37.202395,-107.050863
Baca,"3,506",37.303144,-102.535457
Bent,"5,650",37.931891,-103.077584
Boulder,"330,758",40.094826,-105.398382
Broomfield,"74,112",39.953383,-105.052125
Chaffee,"19,476",38.738246,-106.316972
Cheyenne,"1,748",38.835387,-102.604585
Clear Creek,"9,397",39.689403,-105.670791
Conejos,"7,461",37.213407,-106.176447
Costilla,"3,499",37.277547,-105.42894
Crowley,"5,922",38.321956,-103.787562
Custer,"4,704",38.101994,-105.373515
Delta,"31,196",38.861756,-107.864757
Denver,"715,522",39.761849,-104.880625
Dolores,"2,326",37.747602,-108.530383
Douglas,"357,978",39.326435,-104.926199
Eagle,"55,731",39.630638,-106.692944
El Paso,"730,395",39.310817,-104.117928
Elbert,"26,062",38.827383,-104.527472
Fremont,"48,939",38.455658,-105.421438
Garfield,"61,685",39.599352,-107.90978
Gilpin,"5,808",39.861082,-105.528947
Grand,"15,717",40.123289,-106.095876
Gunnison,"16,918",38.669679,-107.078108
Hinsdale,788,37.811625,-107.383405
Huerfano,"6,820",37.687815,-104.959928
Jackson,"1,379",40.663432,-106.329248
Jefferson,"582,910",39.58646,-105.245601
Kiowa,"1,446",38.388466,-102.75621
Kit Carson,"7,087",39.30534,-102.603023
La Plata,"55,638",39.204316,-106.349696
Lake,"7,436",37.287367,-107.839718
Larimer,"359,066",40.663091,-105.482131
Las Animas,"14,555",37.318831,-104.04411
Lincoln,"5,675",38.99374,-103.507555
Logan,"21,528",40.728091,-103.090464
Mesa,"155,703",39.019492,-108.461837
Mineral,865,37.651478,-106.9323
Moffat,"13,292",40.573984,-108.204521
Montezuma,"25,849",37.338025,-108.595786
Montrose,"42,679",38.413427,-108.263042
Morgan,"29,111",40.262354,-103.807092
Otero,"18,690",37.88417,-103.72126
Ouray,"4,874",38.1506,-107.767133
Park,"17,390",39.118914,-105.717648
Phillips,"4,530",40.594712,-102.345105
Pitkin,"17,358",39.217533,-106.915943
Prowers,"11,999",37.958181,-102.392161
Pueblo,"168,162",38.170658,-104.489893
Rio Blanco,"6,529",39.972606,-108.200685
Rio Grande,"11,539",37.485763,-106.453214
Routt,"24,829",40.48316,-106.985289
Saguache,"6,368",38.033952,-106.246675
San Juan,705,37.781075,-107.670257
San Miguel,"8,072",38.009374,-108.427326
Sedgwick,"2,404",40.871568,-102.355358
Summit,"31,055",39.621023,-106.137555
Teller,"24,710",38.871994,-105.182552
Washington,"4,817",39.965413,-103.209605
Weld,"328,981",40.555794,-104.383649
Yuma,"9,988",40.000631,-102.422649
