Solar Farm Name,Solar Farm County
AFA Solar Farm,El Paso
Adams Community Solar Garden III LLC,Adams
Adams Community Solar Garden LLC,Adams
Airport 1 Solar (DIA),Denver
Alamosa Solar South CSG,Alamosa
Alden Solar CSG LLC,Weld
Amazon DEN2 Solar Project,Adams
Amazon Denver DEN3,
Arapahoe 3 Community Solar Array,Arapahoe
"Ash Mesa Solar, LLC",Montrose
Bar D,Rio Blanco
Bighorn Solar 1,Pueblo
Bison Solar LLC,Larimer
Brighton PV Solar Plant,Adams
"CEC Solar #1117, LLC",Pueblo
CO LI CSG 1 - Kamerra,
CSU Pueblo,Pueblo
Carson Solar I,El Paso
City & County of Denver at Denver Int'l,Denver
City of Boulder WWTP,Boulder
Clear Spring Ranch PV Project,El Paso
Cogentrix of Alamosa,Alamosa
Comanche Solar,Pueblo
Conejos 1 Community Solar Array,Conejos
"Cortez Solar 1, LLC",Montezuma
Coyote Ridge Community Solar,Larimer
Denver Int Airport,Denver
Denver Intl Airport IV Solar,Denver
Denver Metro Solar,Adams
Eagle Springs Solar LLC,Garfield
"Fremont CO 1, LLC",Fremont
Gilcrest Solar,Weld
Gilcrest Sun CSG,Weld
Gilcrest V CSG,Weld
Grazing Yak Solar,El Paso
Greater Sandhill I,Alamosa
Hooper Solar,Alamosa
IBM Solar,Boulder
Imboden Solar Garden,Adams
Jack's Solar Garden,Boulder
Jeffco Community Solar Gardens LLC,
Lafayette Horizon Solar CSG LLC,Broomfield
Logan 1 Community Solar Array,Logan
Mesa CSG 1 Murdock,Mesa
Mesa CSG 2 Massicotte,Mesa
Mesa PV1,Mesa
"Monte Vista Solar 2 CSG, LLC",
Mtn Solar 6 LLC (CSG),
Mtn. Solar 1,Adams
Mtn. Solar 2,Adams
Mtn. Solar 3 CSG,Morgan
Mtn. Solar 4 (CSG),
"NSE Camber BH CSG 2, LLC",Crowley
NSE Camber Solar PS11 LLC (CSG),
NSE Camber Solar PS13 LLC (CSG),Logan
NSE Camber Solar PS5 LLC (CSG),Weld
NSE Camber Solar PS6 LLC CSG,Weld
Oak Leaf Solar XVIII LLC,Denver
Oak Leaf Solar XXI (CSG),Arapahoe
Oak Leaf Solar XXII LLC (CSG),Denver
Oak Leaf Solar XXIII LLC (CSG),
Oak Leaf Solar XXIV LLC (CSG),Arapahoe
Oak Leaf Solar XXV LLC (CSG),Arapahoe
Oak Leaf Solar XXVI LLC,Denver
Oak Leaf Solar XXVII LLC,Weld
Oak Leaf Solar XXVIII LLC (CSG),Weld
Oak Leaf Solar XXX LLC (CSG),Alamosa
Oak Leaf Solar XXXI LLC (CSG),Mesa
Oak Leaf Solar XXXII (CSG),
Oak Leaf Solar XXXIII LLC (Lantz),Chaffee
Palmer Solar,El Paso
Panasonic Carport Solar Hybrid,Denver
Pikes Peak Solar Garden 1 LLC CSG,El Paso
"Pioneer Solar (CO), LLC",Adams
Pitkin County Solar,Pitkin
Pivot Solar 1 LLC (CSG),
Pivot Solar 12 LLC(CSG),Logan
Pivot Solar 14 LLC (CSG),
Pivot Solar 15 LLC (CSG),
Pivot Solar 2 LLC (CSG),Morgan
Pivot Solar 3 LLC (CSG),Garfield
Pivot Solar 4 LLC (CSG),Weld
Pivot Solar 7 LLC (CSG),
Pivot Solar 8 LLC (CSG),Weld
"Platteville Solar CSG, LLC",Weld
Quincy II Solar Garden,Arapahoe
Quincy Solar,Arapahoe
RV CSU Power II LLC,
RV CSU Power LLC,Larimer
Rawhide Prairie Solar Hybrid,Larimer
Riverview Solar,Logan
Rock Creek 2 CSG,Alamosa
SMPA Solar 1 Community Solar,Montrose
SR Jenkins Ft Lupton,Weld
SR Kersey,Weld
SR Kersey II,Weld
SR Mavericks,Weld
SR Platte Solar Farm,Weld
SR Rattlesnake,Weld
SR Skylark B,Weld
SR Skylark C,Weld
"San Isabel Solar, LLC",Las Animas
San Luis Solar Garden,Conejos
San Luis Valley Solar Array,Saguache
San Luis Valley Solar Ranch,Alamosa
Skylark,Weld
Sterling PV 3,Logan
Sun Mountain Solar 1,Pueblo
SunE Alamosa,Alamosa
Sunnyside Ranch Community Solar Array,Garfield
Titan Solar,Arapahoe
Tom Sifers Solar,Grand
Trout Creek Solar,Chaffee
TruStile Doors - Denver,
Valley View Solar,Weld
Vasquez V CSG,Weld
Venture 1 - 1A CSG,
Venture 2 - 1B,Adams
Venture 3 - 1C,Adams
Venture 4 - 1D,Adams
Victory Solar LLC,Adams
Vilas Solar Array,Baca
WWRF Solar Plant,Garfield
Weld 1 Community Solar Array,Weld
Whiskey Hill Solar,Jackson
Xcel Adams 1 Community Solar Array,Adams
Xcel Adams 2 Community Solar Array,Adams
