datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
2020-01-06,42.0,24.2,34.2,33.0,0.0,,21.5,201.6,8.7,5.0,07:19:06,16:47:14,Adams
2020-01-06,26.8,-6.7,8.0,64.9,0.0,,14.2,133.5,11.4,5.0,07:18:29,16:59:30,Alamosa
2020-01-06,42.0,24.2,33.9,33.4,0.0,,22.1,162.0,7.1,4.0,07:18:27,16:47:54,Arapahoe
2020-01-06,33.5,9.1,17.8,75.6,0.0,,1.3,106.8,9.1,5.0,07:22:33,17:05:33,Archuleta
2020-01-06,50.1,15.3,31.7,49.1,0.0,,0.0,239.4,10.3,5.0,07:04:45,16:47:12,Baca
2020-01-06,52.1,16.6,31.2,47.6,0.0,,0.0,179.9,10.9,6.0,07:08:37,16:47:40,Bent
2020-01-06,44.2,9.2,31.1,36.5,0.0,,11.5,125.4,10.8,5.0,07:24:01,16:50:52,Boulder
2020-01-06,43.4,31.5,38.2,26.9,0.0,,10.6,88.3,7.3,4.0,07:22:13,16:49:54,Broomfield
2020-01-06,26.3,9.6,20.6,42.1,4.17,['snow'],11.8,311.2,13.4,6.0,07:23:49,16:58:25,Chaffee
2020-01-06,46.1,15.2,28.8,53.5,0.0,,5.0,143.4,8.7,5.0,07:09:14,16:43:17,Cheyenne
2020-01-06,42.9,5.2,14.4,44.0,0.0,,48.5,219.0,18.4,6.0,07:23:56,16:53:08,Clear Creek
2020-01-06,25.6,-5.3,7.9,61.7,0.0,,10.7,145.3,7.3,5.0,07:19:05,17:02:01,Conejos
2020-01-06,24.7,-7.1,10.2,57.8,0.0,,7.0,232.5,9.1,5.0,07:16:16,16:58:51,Costilla
2020-01-06,51.1,20.2,33.7,38.6,0.0,,0.0,225.8,9.8,4.0,07:12:32,16:49:27,Crowley
2020-01-06,38.6,22.1,29.4,35.8,0.0,,1.6,231.3,10.1,5.0,07:18:16,16:56:24,Custer
2020-01-06,25.7,12.9,17.5,84.2,0.0,,51.2,215.3,9.3,5.0,07:30:21,17:04:16,Delta
2020-01-06,41.8,24.2,33.5,33.8,0.0,,22.0,154.8,6.7,4.0,07:20:59,16:49:46,Denver
2020-01-06,34.7,12.5,22.9,62.9,0.0,,1.7,292.5,11.8,5.0,07:29:56,17:10:00,Dolores
2020-01-06,39.9,23.8,32.0,34.6,0.0,,15.8,239.0,12.1,5.0,07:19:54,16:51:11,Douglas
2020-01-06,30.1,11.0,21.0,65.5,0.0,,34.7,266.5,11.5,6.0,07:27:51,16:57:24,Eagle
2020-01-06,40.2,18.4,28.9,41.9,0.0,,6.0,121.3,10.9,5.0,07:16:38,16:48:00,Elbert
2020-01-06,44.7,27.2,35.1,24.0,0.0,,22.4,18.0,2.4,0.0,07:16:54,16:51:00,El Paso
2020-01-06,45.4,26.4,34.8,24.5,0.0,,53.1,283.8,12.2,6.0,07:19:26,16:55:37,Fremont
2020-01-06,23.9,10.0,17.3,81.2,0.0,,58.9,119.9,10.3,5.0,07:32:37,17:02:21,Garfield
2020-01-06,43.7,12.1,24.6,36.4,0.0,,33.0,209.9,17.5,5.0,07:23:51,16:52:04,Gilpin
2020-01-06,23.5,14.0,18.4,62.7,0.0,,60.3,83.8,7.1,4.0,07:26:53,16:53:35,Grand
2020-01-06,28.5,2.7,14.1,68.8,0.0,,10.0,108.8,4.8,2.0,07:26:40,17:01:39,Gunnison
2020-01-06,29.7,10.4,18.8,60.8,0.0,,2.7,208.6,9.0,5.0,07:25:31,17:05:14,Hinsdale
2020-01-06,39.5,18.5,25.4,41.9,0.0,,0.0,311.5,13.4,6.0,07:15:29,16:55:52,Huerfano
2020-01-06,23.8,14.1,19.1,63.0,0.0,,51.2,222.3,9.6,5.0,07:29:25,16:52:55,Jackson
2020-01-06,41.9,26.7,34.0,33.0,0.0,,22.2,173.3,14.6,3.0,07:21:56,16:51:44,Jefferson
2020-01-06,52.7,15.1,30.6,50.2,0.0,,0.0,143.4,8.7,5.0,07:08:36,16:45:08,Kiowa
2020-01-06,46.0,15.3,28.9,53.6,0.0,,5.3,250.4,9.9,5.0,07:10:33,16:41:57,Kit Carson
2020-01-06,18.0,8.1,13.7,57.2,4.17,['snow'],57.5,187.3,8.1,4.0,07:25:15,16:57:14,Lake
2020-01-06,35.7,8.3,23.1,67.0,0.0,,0.0,269.5,11.7,6.0,07:25:56,17:08:28,La Plata
2020-01-06,40.1,28.2,34.4,34.4,0.0,,3.2,230.8,9.9,5.0,07:26:02,16:49:32,Larimer
2020-01-06,46.3,25.2,32.7,51.3,0.0,,0.0,269.8,11.8,5.0,07:10:50,16:53:12,Las Animas
2020-01-06,42.2,11.9,27.9,45.8,0.0,,1.1,260.4,10.4,5.0,07:13:17,16:46:27,Lincoln
2020-01-06,41.7,19.6,30.5,50.9,0.0,,7.7,221.0,9.5,5.0,07:16:39,16:39:46,Logan
2020-01-06,26.9,12.8,20.7,81.0,0.0,,59.2,165.1,7.1,4.0,07:33:11,17:06:13,Mesa
2020-01-06,25.4,5.8,14.9,57.5,0.0,,1.7,141.0,12.2,6.0,07:23:17,17:03:52,Mineral
2020-01-06,29.3,9.2,19.4,67.9,0.0,,50.8,238.8,10.4,5.0,07:36:39,17:00:41,Moffat
2020-01-06,40.1,11.7,25.1,67.3,0.0,,0.0,266.3,11.4,5.0,07:29:05,17:11:22,Montezuma
2020-01-06,27.0,12.3,17.2,80.8,0.0,,42.5,246.6,10.4,6.0,07:30:41,17:07:06,Montrose
2020-01-06,43.1,18.4,31.4,43.7,0.0,,3.8,256.8,11.1,6.0,07:18:09,16:44:00,Morgan
2020-01-06,50.7,15.5,30.6,47.5,0.0,,0.0,256.4,11.1,5.0,07:11:04,16:50:23,Otero
2020-01-06,28.8,11.4,18.8,65.2,0.0,,14.8,190.8,8.3,5.0,07:27:59,17:05:51,Ouray
2020-01-06,17.4,5.6,12.1,55.0,4.17,['snow'],12.3,121.3,10.4,5.0,07:22:29,16:54:57,Park
2020-01-06,46.4,22.1,34.0,53.1,0.0,,5.4,198.4,8.6,4.0,07:13:17,16:37:10,Phillips
2020-01-06,28.1,6.3,17.2,65.9,0.0,,25.3,225.5,9.7,5.0,07:27:33,16:59:28,Pitkin
