datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
2021-10-04,80.2,49.9,63.2,26.9,0.0,,7.9,295.5,13.7,7.0,06:56:50,18:34:23,Adams
2021-10-04,70.2,31.0,49.9,57.4,0.0,,2.3,407.1,19.0,7.0,07:01:35,18:41:19,Alamosa
2021-10-04,79.7,49.1,62.8,27.7,0.0,,7.8,304.5,14.0,6.0,06:56:43,18:34:30,Arapahoe
2021-10-04,69.7,36.9,52.4,58.9,0.0,,0.5,216.1,18.2,5.0,07:06:28,18:46:33,Archuleta
2021-10-04,84.8,47.1,66.2,34.5,0.0,,8.3,219.6,18.9,7.0,06:48:27,18:28:27,Baca
2021-10-04,85.2,46.7,64.1,47.5,0.0,,0.0,394.8,18.4,7.0,06:50:54,18:30:19,Bent
2021-10-04,74.3,46.7,58.2,37.8,0.0,,0.0,192.8,16.7,7.0,07:01:12,18:38:32,Boulder
2021-10-04,81.4,51.5,64.6,29.9,0.0,,0.0,172.5,14.7,7.0,06:59:45,18:37:13,Broomfield
2021-10-04,64.5,45.3,53.4,37.8,0.0,,3.8,248.3,21.6,9.0,07:04:14,18:42:53,Chaffee
2021-10-04,83.9,46.1,63.4,33.7,0.0,,0.0,223.6,19.2,8.0,06:49:25,18:28:00,Cheyenne
2021-10-04,47.9,33.2,38.7,50.9,0.0,,4.4,306.3,26.6,7.0,07:02:06,18:39:50,Clear Creek
2021-10-04,68.0,32.4,49.1,57.1,0.0,,4.0,188.1,16.2,8.0,07:02:59,18:43:03,Conejos
2021-10-04,64.7,34.1,48.7,55.9,0.0,,14.5,209.8,18.1,8.0,07:00:01,18:40:02,Costilla
2021-10-04,84.2,47.6,64.4,44.1,0.0,,0.0,261.5,16.8,7.0,06:53:55,18:32:58,Crowley
2021-10-04,71.6,40.0,55.1,42.8,0.0,,6.8,256.5,17.5,8.0,07:00:10,18:39:25,Custer
2021-10-04,78.7,46.2,61.0,45.1,0.0,,1.1,380.8,17.7,7.0,07:10:29,18:49:00,Delta
2021-10-04,79.9,47.9,62.5,28.3,0.0,,7.8,307.4,14.4,7.0,06:58:58,18:36:38,Denver
2021-10-04,69.6,41.4,54.7,56.7,0.0,,6.1,256.5,20.3,8.0,07:12:38,18:52:12,Dolores
2021-10-04,74.9,43.6,58.8,32.3,0.0,,3.5,370.5,18.6,7.0,06:58:57,18:37:02,Douglas
2021-10-04,72.9,36.1,52.1,50.7,0.0,,2.3,316.2,19.3,8.0,07:06:10,18:43:57,Eagle
2021-10-04,77.2,39.7,58.4,31.2,0.0,,0.0,396.4,18.4,7.0,06:55:42,18:33:49,Elbert
2021-10-04,78.0,45.7,62.3,28.7,0.0,,4.5,306.6,14.3,7.0,06:57:07,18:35:41,El Paso
2021-10-04,76.1,48.6,62.2,27.6,0.0,,2.2,419.4,19.8,8.0,07:00:31,18:39:26,Fremont
