,County,totalRank
0,Jackson,116
1,Lake,115
2,Pitkin,108
3,Cheyenne,108
4,Routt,105
5,Logan,104
6,Crowley,95
7,Summit,93
8,El Paso,89
9,Arapahoe,87
10,Larimer,87
11,Yuma,85
12,Lincoln,84
13,Morgan,84
14,Pueblo,82
15,Adams,80
16,Baca,80
17,Denver,79
18,Jefferson,73
19,Mesa,73
20,Gilpin,73
21,Eagle,73
22,Douglas,72
23,Kit Carson,71
24,Broomfield,71
25,Weld,71
26,Fremont,70
27,Washington,69
28,Otero,65
29,Elbert,65
30,Prowers,64
31,Montezuma,64
32,Dolores,63
33,Kiowa,62
34,Sedgwick,60
35,Conejos,60
36,Phillips,59
37,Boulder,59
38,Bent,58
39,Grand,58
40,Montrose,55
41,Custer,54
42,Teller,54
43,Garfield,53
44,Las Animas,53
45,San Juan,52
46,Costilla,49
47,Park,49
48,La Plata,47
49,Rio Blanco,46
50,Alamosa,45
51,Clear Creek,43
52,Moffat,37
53,Delta,35
54,Archuleta,33
55,Hinsdale,32
56,Chaffee,31
57,Gunnison,28
58,San Miguel,25
59,Saguache,22
60,Huerfano,19
61,Mineral,14
62,Ouray,11
63,Rio Grande,11
